VIN|NUMEROINVENTARIO|COSTOCOMPRA|COSTOACTUAL|AÑO|MARCA|MODELO|VERSION|COLOR|INTERIOR|STATUS|TIPOCOMPRA|FECHACOMPRA|PLACAS|FECHAALTA|NUEVOUSADO
3N1CK3CE2RL206567|502845              |213051.15|213051.15|2024|NISSAN                        |MARCH SENSE TM                |MARCH                         |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|19/03/24||20/03/2024|Nuevo     
3N6AD35A1RK819372|502849              |351472.44|351472.44|2024|NISSAN                        |NP300 CHASIS TM AC            |NP 300                        |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|19/03/24||20/03/2024|Nuevo     
3N1CN8AE3RL885031|502991              |294090.15|294090.15|2024|NISSAN                        |VERSA ADVANCE MT              |VERSA                         |PLATA BRILLANTE               |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|19/03/24||21/03/2024|Nuevo     
3N1CN8AE7RL885484|503180              |317191.15|317191.15|2024|NISSAN                        |VERSA SR CVT                  |VERSA                         |BLANCO PERLADO                |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|21/03/24||22/03/2024|Nuevo     
3N1CN8AEXRL884877|503183              |262456.15|262456.15|2024|NISSAN                        |VERSA SENSE MT                |VERSA                         |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|20/03/24||22/03/2024|Nuevo     
3N1CN8AE3RL884865|503187              |275573.15|275573.15|2024|NISSAN                        |VERSA SENSE CVT               |VERSA                         |ROJO BURDEOS                  |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|20/03/24||22/03/2024|Nuevo     
3N1CN8AE3RL884896|503188              |329288.15|329288.15|2024|NISSAN                        |VERSA EXCLUSIVE CVT           |VERSA                         |BLANCO PERLADO                |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|20/03/24||22/03/2024|Nuevo     
3N1CN8AE1RL884802|503189              |304205.15|304205.15|2024|NISSAN                        |VERSA ADVANCE CVT             |VERSA                         |GRIS OXFORD                   |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|20/03/24||22/03/2024|Nuevo     
3N1CN7AE9RL703763|503190              |226965.15|226965.15|2024|NISSAN                        |V-DRIVE T/M A/C AUDIO         |VERSA                         |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|20/03/24||22/03/2024|Nuevo     
3N1CN7AE8RL703768|503191              |226965.15|226965.15|2024|NISSAN                        |V-DRIVE T/M A/C AUDIO         |VERSA                         |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|20/03/24||22/03/2024|Nuevo     
3N1CN7AE8RL703723|503192              |226965.15|226965.15|2024|NISSAN                        |V-DRIVE T/M A/C AUDIO         |VERSA                         |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|20/03/24||22/03/2024|Nuevo     
3N6AD35A6RK819514|503198              |351472.44|351472.44|2024|NISSAN                        |NP300 CHASIS TM AC            |NP 300                        |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|20/03/24||22/03/2024|Nuevo     
3N6AD35A3RK819373|503199              |351472.44|351472.44|2024|NISSAN                        |NP300 CHASIS TM AC            |NP 300                        |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|20/03/24||22/03/2024|Nuevo     
3N6AD33A4RK812757|503200              |459387.22|459387.22|2024|NISSAN                        |FRONTIER LE TM                |NP 300                        |GRIS OXFORD                   |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|20/03/24||22/03/2024|Nuevo     
3N1CN8AE1RL886601|503825              |262456.15|262456.15|2024|NISSAN                        |VERSA SENSE MT                |VERSA                         |ROJO BURDEOS                  |                              |APARTADA            |COMPRA A PLANTA CON FINANCIERA|25/03/24||26/03/2024|Nuevo     
3N1CN7AE3RL704309|503830              |226965.15|226965.15|2024|NISSAN                        |V-DRIVE T/M A/C AUDIO         |VERSA                         |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|25/03/24||26/03/2024|Nuevo     
3N1CN7AE1RL704292|503832              |226965.15|226965.15|2024|NISSAN                        |V-DRIVE T/M A/C AUDIO         |VERSA                         |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|25/03/24||26/03/2024|Nuevo     
3N1AB8AE7RY327203|503835              |388822.15|388822.15|2024|NISSAN                        |SENTRA SR CVT                 |SENTRA                        |PLATA BRILLANTE               |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|25/03/24||26/03/2024|Nuevo     
3N6AD35AXRK819032|503837              |351472.44|351472.44|2024|NISSAN                        |NP300 CHASIS TM AC            |NP 300                        |ROJO                          |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|25/03/24||26/03/2024|Nuevo     
3N6AD33A7RK820433|503839              |374677.57|374677.57|2024|NISSAN                        |FRONTIER SE TM                |NP 300                        |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|25/03/24||26/03/2024|Nuevo     
3N1CN8AE4RL886463|503840              |262456.15|262456.15|2024|NISSAN                        |VERSA SENSE MT                |VERSA                         |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|24/03/24||26/03/2024|Nuevo     
3N1CN8AE3RL886325|503842              |304205.15|304205.15|2024|NISSAN                        |VERSA ADVANCE CVT             |VERSA                         |AZUL ZAFIRO                   |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|24/03/24||26/03/2024|Nuevo     
3N1CN7AE0RL704204|503843              |226965.15|226965.15|2024|NISSAN                        |V-DRIVE T/M A/C AUDIO         |VERSA                         |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|24/03/24||26/03/2024|Nuevo     
JN1BE6DS5R9102060|503845              |552964.16|552964.16|2024|NISSAN                        |URVAN 14 PASAJEROS AMPLIA AA  |URVAN                         |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|24/03/24||26/03/2024|Nuevo     
3N1CN8AE2RL886140|503846              |304205.15|304205.15|2024|NISSAN                        |VERSA ADVANCE CVT             |VERSA                         |GRIS OXFORD                   |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|23/03/24||26/03/2024|Nuevo     
3N6AD31A9RK813390|503847              |355964.61|355964.61|2024|NISSAN                        |NP300 PICK UP TM AC           |NP 300                        |PLATA BRILLANTE               |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|23/03/24||26/03/2024|Nuevo     
3N1CN8AE8RL885848|503850              |262456.15|262456.15|2024|NISSAN                        |VERSA SENSE MT                |VERSA                         |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|22/03/24||26/03/2024|Nuevo     
3N1CN8AE3RL885840|503852              |275573.15|275573.15|2024|NISSAN                        |VERSA SENSE CVT               |VERSA                         |ROJO BURDEOS                  |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|22/03/24||26/03/2024|Nuevo     
3N1CN8AE4RL886155|503853              |304205.15|304205.15|2024|NISSAN                        |VERSA ADVANCE CVT             |VERSA                         |AZUL ZAFIRO                   |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|22/03/24||26/03/2024|Nuevo     
3N1AB8AE4RY325442|503854              |302891.15|302891.15|2024|NISSAN                        |SENTRA SENSE T/M              |SENTRA                        |BLANCO PERLADO                |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|22/03/24||26/03/2024|Nuevo     
3N1CN8AE7RL887512|504007              |262456.15|262456.15|2024|NISSAN                        |VERSA SENSE MT                |VERSA                         |AZUL ZAFIRO                   |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|26/03/24||27/03/2024|Nuevo     
JN1BE6DS4R9102227|504008              |552964.16|552964.16|2024|NISSAN                        |URVAN 14 PASAJEROS AMPLIA AA  |URVAN                         |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|26/03/24||27/03/2024|Nuevo     
3N6AD35A1RK820506|504009              |351472.44|351472.44|2024|NISSAN                        |NP300 CHASIS TM AC            |NP 300                        |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|26/03/24||27/03/2024|Nuevo     
