NUMERO|DESCRIPCION|TIPOPARTE|ALMACEN|EXISTENCIA|COSTOUNITARIO|COSTO|PRECIO|ULTIMACOMPRA|ULTIMAVENTA|FECHAALTA|CLASIFICACION
E4525VK385          |ARTICUL COMP SU               |REFACCI                       |VILLAHERM      |1|1699.16|1699.16|5047.41|19/04/21|20/01/20|03/08/08|Obsoleto  |
3N2M66LE0D          |ABRAZADERA COL                |ACCESOR                       |VILLAHERM      |5|41.04|205.20|69.05|29/03/23|01/06/23|03/02/20|Obsoleto  |
622563BA0A          |VISTA LAMP/NIEB               |REFACCI                       |VILLAHERM      |1|174.26|174.26|379.31|15/03/22|20/06/12|03/12/10|Obsoleto  |
22401ED815          |BUJIA                         |REFACCI                       |VILLAHERM      |4|318.26|1273.04|534.36|25/10/24|30/10/24|03/08/08|Rapido    |
170405EE0A          |BOMBA COMPLETA                |REFACCI                       |VILLAHERM      |2|1949.79|3899.58|3806.03|12/12/22|13/12/22|03/10/18|Obsoleto  |
NIMEXU17Q1DD        |LIMPIADOR CVT                 |ACCESOR                       |VILLAHERM      |20|188.38|3767.60|225.86|06/09/24|31/10/24|03/03/17|Rapido    |
546684KH0A          |VAR/CONECC-ESTA               |REFACCI                       |VILLAHERM      |2|182.13|364.26|336.21|03/10/24|26/09/24|03/04/14|Rapido    |
132705TA0A          |JUNTA TAPA DE V               |REFACCI                       |VILLAHERM      |1|326.45|326.45|543.10|19/10/24|30/09/24|03/05/16|Rapido    |
170405EF0A          |BOMBA COMPLETA                |REFACCI                       |VILLAHERM      |2|2074.54|4149.08|3094.83|19/10/24|28/10/24|03/10/18|Rapido    |
T99J25EE0A          |Salpicaderas (b               |ACCESOR                       |VILLAHERM      |1|1215.82|1215.82|1836.21|05/08/23|23/10/24|03/04/19|Lento     |
T99J25EE0B          |Salpicaderas (b               |ACCESOR                       |VILLAHERM      |1|1158.90|1158.90|1974.14|27/12/23|23/10/24|03/04/19|Rapido    |
805004KG0A          |CNTRL-REMOT/DEL               |REFACCI                       |VILLAHERM      |1|601.97|601.97|1090.52|25/09/24|30/09/24|03/06/14|Medio     |
3139029X0B          |CARTER TRANSMIS               |REFACCI                       |VILLAHERM      |2|556.17|1112.34|909.48|08/02/24|18/01/24|03/01/19|Lento     |
D10601HLXB          |BALATAS DELANTE               |REFACCI                       |VILLAHERM      |4|312.94|1251.76|689.66|31/07/19|14/09/21|03/02/14|Obsoleto  |
MA195515CRDD        |LLANMANP300 195               |REFACCI                       |VILLAHERM      |1|2539.82|2539.82|2982.76|31/07/24|18/10/24|03/09/18|Rapido    |
2441038SX1          |BATERIA-XT (KV)               |REFACCI                       |VILLAHERM      |12|2317.64|27811.68|2853.45|29/10/24|24/10/24|03/06/03|Rapido    |
2441038SX2          |BATERIA-PH (KV)               |REFACCI                       |VILLAHERM      |3|1385.44|4156.32|2831.90|31/12/20|01/07/22|03/06/03|Obsoleto  |
122793VA0A          |SELL ACEI/CIGUE               |REFACCI                       |VILLAHERM      |1|493.62|493.62|965.52|13/12/23|29/11/22|03/04/14|Obsoleto  |
AFIN1719K10W        |KIT AFINA N17 1               |REFACCI                       |VILLAHERM      |1|952.07|952.07|1327.59|09/05/24|28/09/24|03/11/19|Rapido    |
226301S700          |MOTOR TEMP. AIR               |REFACCI                       |VILLAHERM      |1|924.07|924.07|1926.72|09/05/23|25/07/08|03/10/96|Obsoleto  |
3N3G85EF0B          |VISTA FRONTAL N               |ACCESOR                       |VILLAHERM      |3|830.84|2492.52|1465.52|12/07/22|30/03/23|03/05/19|Obsoleto  |
3N3G85EF0C          |VISTA FRONTAL A               |ACCESOR                       |VILLAHERM      |1|642.86|642.86|1284.48|02/10/19|//|03/05/19|Obsoleto  |
682604KH5A          |TAPA CUBIERTA                 |REFACCI                       |VILLAHERM      |3|431.79|1295.37|1047.41|01/09/20|29/12/20|03/04/14|Obsoleto  |
684204KH5A          |VIST/LAT-DER-IN               |REFACCI                       |VILLAHERM      |3|191.13|573.39|487.07|01/09/20|29/12/20|03/04/14|Obsoleto  |
873177Y312          |INTERRUPTOR                   |REFACCI                       |VILLAHERM      |1|412.76|412.76|768.43|19/01/22|//|01/11/02|Obsoleto  |
381000F36A          |COR Y ENGR TRAN               |REFACCI                       |VILLAHERM      |1|10193.21|10193.21|19051.72|19/08/24|//|03/02/08|Obsoleto  |
284429BU1A          |CAMARA VISTA TR               |REFACCI                       |VILLAHERM      |1|1921.82|1921.82|3452.59|27/10/23|01/11/23|02/09/23|Obsoleto  |
2263044B20          |MOD/CNTRL TEMP/               |REFACCI                       |VILLAHERM      |2|926.06|1852.12|1732.76|09/10/24|28/09/24|03/05/97|Rapido    |
3N3E1G3001          |TAPETES DE HULE               |ACCESOR                       |VILLAHERM      |1|911.98|911.98|1366.38|10/11/23|15/08/24|03/04/14|Medio     |
130911KC4B          |GUIA LAT/CADENA               |REFACCI                       |VILLAHERM      |1|282.35|282.35|443.97|01/02/24|25/09/23|03/05/21|Obsoleto  |
963736LB0H          |CUBIERTA ESPEJO               |REFACCI                       |VILLAHERM      |2|101.45|202.90|157.76|24/10/24|14/10/24|03/03/19|Rapido    |
4322270T00          |BIRLO MAZA                    |REFACCI                       |VILLAHERM      |2|65.50|131.00|129.31|09/04/24|18/10/24|03/01/95|Rapido    |
3172628X0A          |FILTRO-ACEIT CN               |REFACCI                       |VILLAHERM      |1|327.24|327.24|590.52|07/08/24|30/10/24|03/09/15|Rapido    |
243805RB0A          |HOLDER ASSY-FUS               |REFACCI                       |VILLAHERM      |1|465.03|465.03|810.34|06/09/24|//|03/12/15|Obsoleto  |
31020X424A          |TRANSEJE AUTOMA               |REFACCI                       |VILLAHERM      |2|26938.48|53876.96|33672.41|24/01/24|10/10/23|03/09/15|Obsoleto  |
628906KH3A          |EMBLEMA DELANTE               |REFACCI                       |VILLAHERM      |1|601.48|601.48|995.69|23/10/24|09/07/24|03/03/22|Lento     |
