NUMERO|DESCRIPCION|TIPOPARTE|ALMACEN|EXISTENCIA|COSTOUNITARIO|COSTO|PRECIO|ULTIMACOMPRA|ULTIMAVENTA|FECHAALTA|CLASIFICACION
781266LB0A          |CUBRTA RIEL DER               |REFACCI                       |VILLAHERM      |1|274.04|274.04|500.00|14/04/23|03/05/23|03/02/19|Obsoleto  |
112104BA0A          |AISL/DER-MONT/M               |REFACCI                       |VILLAHERM      |1|2345.77|2345.77|4250.00|23/10/24|18/09/24|03/11/13|Medio     |
407006LB0A          |SENSOR PRESION                |REFACCI                       |VILLAHERM      |1|473.03|473.03|862.07|31/10/24|26/10/24|03/02/19|Rapido    |
808304AF2A          |SELLO DE HULE P               |REFACCI                       |VILLAHERM      |1|631.95|631.95|1150.86|16/07/24|02/10/19|03/07/17|Obsoleto  |
NCIRLAVAD4          |MATERIALES ENCERADO PREMIUM   |OTRAS R                       |VILLAHERM      |5|278.95|1394.75|316.00|28/06/24|05/07/24|25/07/16|Rapido    |
738B15RB0A          |SOPORTE RACK TR               |REFACCI                       |VILLAHERM      |1|183.33|183.33|365.52|29/02/24|//|03/01/16|Obsoleto  |
NCIRLAVAD5          |MATERIALES PROT PINTURA       |OTRAS R                       |VILLAHERM      |4|432.63|1730.52|506.24|28/06/24|15/10/24|25/07/16|Rapido    |
NCIRLAVAD9          |KIT MATERIALES PROT. PINT TRAD|OTRAS R                       |VILLAHERM      |4|152.29|609.16|210.00|25/05/20|07/06/21|12/05/20|Obsoleto  |
165463TA0J          |FILTRO DE AIRE                |REFACCI                       |VILLAHERM      |1|411.63|411.63|711.91|13/03/24|16/02/24|03/10/16|Rapido    |
K60105RY0B          |BUMPER DELANTER               |ACCESOR                       |VILLAHERM      |1|6972.26|6972.26|8715.52|03/10/24|13/08/24|03/09/20|Medio     |
40700JK01B          |SENSOR PRESION                |REFACCI                       |VILLAHERM      |1|1220.64|1220.64|2271.55|23/04/24|26/05/23|03/12/14|Obsoleto  |
165004JM1A          |LIMPIADOR AIRE                |REFACCI                       |VILLAHERM      |1|1020.97|1020.97|1840.52|25/09/24|06/01/23|03/05/14|Obsoleto  |
165466LA0A          |ELEMT AIRE                    |REFACCI                       |VILLAHERM      |14|219.76|3076.64|332.12|30/10/24|28/10/24|03/02/19|Rapido    |
165469BT1A          |FILTRO DE AIRE                |REFACCI                       |VILLAHERM      |1|484.75|484.75|757.50|11/07/24|31/10/24|03/03/21|Rapido    |
140949BA0A          |TUERCA                        |REFACCI                       |VILLAHERM      |10|8.40|84.00|17.24|22/02/24|16/02/24|03/06/12|Rapido    |
1112801M0B          |TAPON DRENADOR                |REFACCI                       |VILLAHERM      |3|131.73|395.19|259.48|24/06/24|02/08/24|03/01/08|Rapido    |
54613JG03B          |BUJE ESTABILIZA               |REFACCI                       |VILLAHERM      |4|116.94|467.76|216.38|13/09/24|28/10/24|03/08/18|Rapido    |
275004BB1C          |CONTROL AIRE/AC               |REFACCI                       |VILLAHERM      |1|4285.43|4285.43|7791.70|15/12/20|21/12/20|28/12/16|Obsoleto  |
546139VB0A          |BUSH-STABILIZER               |REFACCI                       |VILLAHERM      |6|38.23|229.38|73.62|25/04/24|15/10/24|03/03/19|Rapido    |
113503SG0A          |VARILLA TORQUE                |REFACCI                       |VILLAHERM      |1|1482.55|1482.55|2685.34|23/10/24|26/09/24|03/10/12|Rapido    |
D10605RB0B          |KIT BALAT FREN/               |REFACCI                       |VILLAHERM      |4|1322.53|5290.12|1978.45|24/10/24|09/10/24|03/01/17|Rapido    |
344133AM0A          |CABLE MANDO T/M               |REFACCI                       |VILLAHERM      |2|3416.60|6833.20|6370.69|06/09/24|02/09/24|03/12/10|Rapido    |
546186LB0A          |VARILLA CONECC-               |REFACCI                       |VILLAHERM      |8|155.68|1245.44|231.03|08/08/24|10/07/24|03/02/19|Rapido    |
546186LB1A          |VARILLA ESTABLZ               |REFACCI                       |VILLAHERM      |2|182.58|365.16|284.48|25/10/24|29/10/24|03/02/19|Rapido    |
403009KC1A          |RIN ALUMINIO                  |REFACCI                       |VILLAHERM      |1|7932.17|7932.17|15982.76|02/05/23|19/12/19|03/01/13|Obsoleto  |
D86404KH0A          |TERMINAL LH                   |REFACCI                       |VILLAHERM      |1|414.02|414.02|689.66|23/10/24|17/08/24|03/04/15|Medio     |
H72774BU0JNW        |FILTRO CABINA C               |REFACCI                       |VILLAHERM      |4|441.71|1766.84|266.38|12/04/22|13/09/22|03/04/21|Obsoleto  |
284425EA0B          |CAMARA VISION T               |REFACCI                       |VILLAHERM      |7|2250.50|15753.50|4198.28|02/09/24|09/10/24|03/02/19|Rapido    |
546192S600          |BUJE GOMA AMORT               |REFACCI                       |VILLAHERM      |4|24.84|99.36|65.09|28/07/22|03/08/22|03/10/07|Obsoleto  |
402624GA0D          |TUERCA                        |REFACCI                       |VILLAHERM      |3|84.04|252.12|123.28|24/10/24|18/10/24|03/12/20|Rapido    |
80892G2500          |OJAL PARA LAMIN               |REFACCI                       |VILLAHERM      |1|11.36|11.36|22.76|22/01/24|30/07/19|03/01/11|Obsoleto  |
NIMEX220823A        |PORTABICICLETA                |ACCESOR                       |VILLAHERM      |1|3576.41|3576.41|8564.65|31/05/23|31/05/23|03/09/19|Obsoleto  |
963663AN0A          |LUNA ESPEJO IZQ               |REFACCI                       |VILLAHERM      |2|218.12|436.24|396.55|31/10/24|26/10/24|03/01/11|Rapido    |
46531M3000          |CUBIERTA PEDAL                |REFACCI                       |VILLAHERM      |3|85.13|255.39|162.07|26/07/24|02/08/24|03/07/79|Medio     |
432063JA0A          |ROTOR FREN/DISC               |REFACCI                       |VILLAHERM      |1|2866.70|2866.70|8422.41|27/02/20|12/02/20|03/03/13|Obsoleto  |
0155305933          |TORNILLO VIST C               |REFACCI                       |VILLAHERM      |123|12.67|1558.41|20.69|25/10/24|21/10/24|03/04/12|Rapido    |
56217EB70A          |BUJE GOMA                     |REFACCI                       |VILLAHERM      |69|95.98|6622.62|200.00|23/06/23|15/07/24|03/09/08|Rapido    |
D1060EM30C          |KIT PASTILLAS F               |REFACCI                       |VILLAHERM      |2|1894.55|3789.10|2775.86|24/06/24|14/10/24|03/10/11|Rapido    |
KE40900Z11          |CENTRO RIN NEGR               |REFACCI                       |VILLAHERM      |3|140.20|420.60|261.22|12/10/20|04/06/22|03/01/16|Obsoleto  |
EML15W40SNDD        |AC 946 ML 15W40               |LUBRICA                       |VILLAHERM      |220|121.96|26831.20|189.66|10/10/24|31/10/24|03/02/17|Rapido    |
2888950J1A          |TUERCA BRAZO LI               |REFACCI                       |VILLAHERM      |14|74.09|1037.26|218.97|19/03/22|29/03/22|03/01/07|Obsoleto  |
806119DL0A          |SOPORT MANIJ EX               |REFACCI                       |VILLAHERM      |1|415.29|415.29|719.83|25/09/24|26/06/23|03/04/21|Obsoleto  |
546116KG0A          |ESTABILIZADOR D               |REFACCI                       |VILLAHERM      |2|2789.59|5579.18|4422.41|30/09/24|//|03/01/20|Obsoleto  |
99501EB00B          |EST HERRAM STAN               |REFACCI                       |VILLAHERM      |1|721.11|721.11|1314.66|23/10/24|15/04/24|03/10/07|Lento     |
788183SG0A          |CUB/LAT-FACIA T               |REFACCI                       |VILLAHERM      |1|1088.69|1088.69|1982.76|27/09/24|05/03/22|03/04/12|Obsoleto  |
135100Z400          |SELLO ACEITE CI               |REFACCI                       |VILLAHERM      |2|145.64|291.28|270.69|08/08/24|16/07/24|03/10/01|Medio     |
21430F430A          |TAPON                         |REFACCI                       |VILLAHERM      |2|104.92|209.84|178.45|25/09/24|10/08/24|03/06/07|Rapido    |
4022222001          |BIRLO RUEDA                   |REFACCI                       |VILLAHERM      |2|61.83|123.66|134.48|11/07/24|16/07/24|03/07/80|Rapido    |
545592S40A          |DISCO                         |REFACCI                       |VILLAHERM      |2|115.16|230.32|206.90|23/10/24|08/07/24|03/12/06|Rapido    |
NIMEXT7B00AF        |ESTRIBOS LAT DE               |ACCESOR                       |VILLAHERM      |1|6095.02|6095.02|7810.34|29/04/24|23/09/24|03/09/20|Medio     |
D88115EE6A          |STEERING COLUMN               |REFACCI                       |VILLAHERM      |2|8334.60|16669.20|0.00|13/03/24|06/03/24|03/06/22|Rapido    |
D88115EE7A          |STEERING COLUMN               |REFACCI                       |VILLAHERM      |2|8860.43|17720.86|15413.79|09/02/24|19/01/24|03/06/22|Lento     |
54321AZ60B          |AISLADOR MONT-A               |REFACCI                       |VILLAHERM      |2|527.94|1055.88|814.66|22/04/24|12/04/24|03/12/08|Rapido    |
237311KT0A          |SENS/POSICION C               |REFACCI                       |VILLAHERM      |2|573.54|1147.08|1047.41|28/10/24|22/10/24|03/07/10|Rapido    |
262718993A          |BULBO                         |REFACCI                       |VILLAHERM      |1|20.17|20.17|38.36|25/09/24|22/10/24|03/02/11|Rapido    |
OTREFR134A          |GAS REF 134A                  |OTRAS R                       |VILLAHERM      |1|3222.82|3222.82|7734.29|09/10/24|02/07/24|26/05/22|Lento     |
NIMEXRINREVO        |RIN 15 PARA VE                |ACCESOR                       |VILLAHERM      |3|2177.40|6532.20|3318.97|13/03/24|12/07/24|03/02/20|Lento     |
402063SG0B          |ROTOR DISCO FRO               |REFACCI                       |VILLAHERM      |1|1119.98|1119.98|1883.62|01/08/23|11/04/24|03/08/15|Lento     |
43222AX000          |BIRLO MAZA/RUED               |REFACCI                       |VILLAHERM      |4|32.76|131.04|67.59|06/09/24|07/10/24|03/07/10|Rapido    |
NANOKIT19QDL        |KIT LAVADO NANO               |REFACCI                       |VILLAHERM      |119|150.33|17889.27|208.62|12/07/24|30/10/24|03/07/20|Rapido    |
170405JJ1A          |BOMBA COMPLETA                |REFACCI                       |VILLAHERM      |5|3497.42|17487.10|4366.38|30/08/24|19/09/24|03/04/18|Rapido    |
826068J00A          |MANETA PUERTA T               |REFACCI                       |VILLAHERM      |1|276.52|276.52|550.86|26/10/20|22/03/17|01/02/14|Obsoleto  |
H0564ET000          |LLAVE MAESTRA                 |REFACCI                       |VILLAHERM      |1|311.49|311.49|581.90|10/05/24|29/08/23|03/09/06|Obsoleto  |
769B63SG0A          |VISTA ESTRIB-TR               |REFACCI                       |VILLAHERM      |1|105.54|105.54|249.14|13/07/20|10/10/20|03/04/12|Obsoleto  |
4653435F05          |BUJE AUXILIAR                 |REFACCI                       |VILLAHERM      |4|82.91|331.64|165.52|01/02/24|29/09/20|03/11/95|Obsoleto  |
NITROTAP01DD        |NITRO SERV/TAPO               |REFACCI                       |VILLAHERM      |113|281.44|31802.72|380.17|09/10/24|31/10/24|03/12/19|Rapido    |
562306LB0A          |ESTABILIZADOR T               |REFACCI                       |VILLAHERM      |2|1038.60|2077.20|1551.72|31/10/24|29/10/24|03/02/19|Rapido    |
768133SG0A          |MOLD/BOTA-AGUA                |REFACCI                       |VILLAHERM      |1|765.35|765.35|1987.07|26/10/19|28/12/20|03/04/12|Obsoleto  |
769225EF0A          |RIBETE LAT/DEL/               |REFACCI                       |VILLAHERM      |2|331.72|663.44|508.62|23/10/24|13/09/24|03/10/18|Medio     |
403159AA0C          |TAPACUBOS                     |ACCESOR                       |VILLAHERM      |3|206.07|618.21|294.83|30/12/23|27/12/23|03/06/11|Rapido    |
46543M8000          |BUJE PEDAL                    |REFACCI                       |VILLAHERM      |1|92.16|92.16|228.45|03/10/22|04/10/22|03/04/98|Obsoleto  |
212000C82A          |TERMOSTATO                    |REFACCI                       |VILLAHERM      |2|348.49|696.98|512.93|19/10/24|23/10/24|03/07/14|Rapido    |
277213AA0A          |SENSOR SOL                    |REFACCI                       |VILLAHERM      |1|1128.37|1128.37|2051.72|23/10/24|03/09/24|03/07/11|Medio     |
NISSANDAYS          |CODIGO PROMOCIONAL            |PROMOCI                       |VILLAHERM      |4|0.01|0.04|1.00|//|27/03/24|13/01/24|Rapido    |
D10604GA0A          |KIT BALAT FREN/               |REFACCI                       |VILLAHERM      |2|2604.49|5208.98|4396.55|24/10/24|27/09/24|03/04/13|Rapido    |
545005RL1B          |HORQUILLA TRANS               |REFACCI                       |VILLAHERM      |3|1251.09|3753.27|2262.93|30/08/24|11/10/24|03/02/18|Rapido    |
165464JM1A          |FILTRO DE AIRE                |REFACCI                       |VILLAHERM      |56|200.34|11219.04|330.57|31/10/24|31/10/24|03/05/14|Rapido    |
243407F000          |CONECTOR                      |REFACCI                       |VILLAHERM      |3|242.41|727.23|456.90|03/10/24|09/08/24|03/02/99|Rapido    |
243407F003          |CONECTOR                      |REFACCI                       |VILLAHERM      |2|269.13|538.26|504.31|24/10/24|06/09/24|03/11/01|Rapido    |
769E85RL0A          |VISTA ESTRIBO                 |REFACCI                       |VILLAHERM      |1|93.94|93.94|201.72|10/06/22|//|03/02/17|Obsoleto  |
403009LB0A          |RIN DE ACERO                  |REFACCI                       |VILLAHERM      |1|686.90|686.90|1125.00|24/10/24|09/10/24|03/02/13|Rapido    |
1654600Q2E          |ELEMENTO FILTR                |REFACCI                       |VILLAHERM      |4|47.28|189.12|119.58|15/05/17|20/11/21|03/08/12|Obsoleto  |
403425MA1A          |TAPON CENTRO D                |REFACCI                       |VILLAHERM      |1|344.88|344.88|573.28|24/05/24|//|03/04/20|Obsoleto  |
28890EL000          |PLUMA LIMPIADOR               |REFACCI                       |VILLAHERM      |1|208.05|208.05|357.76|09/04/24|03/07/24|03/01/06|Rapido    |
803319KY0A          |GOMA CRIST/PTA/               |REFACCI                       |VILLAHERM      |1|160.80|160.80|259.48|25/04/23|//|03/03/18|Obsoleto  |
24410LN3AG          |BATERIA LN3 AGM               |REFACCI                       |VILLAHERM      |3|3851.50|11554.50|4806.03|17/10/24|02/10/24|12/01/23|Rapido    |
119453S512          |POLEA                         |REFACCI                       |VILLAHERM      |1|1677.14|1677.14|3034.48|22/07/24|01/08/24|03/02/04|Medio     |
D602064J0A          |Tapa de Cilindr               |REFACCI                       |VILLAHERM      |1|62.79|62.79|178.45|18/11/21|16/11/21|03/12/18|Obsoleto  |
465033XA2A          |PEDAL CLUTCH C/               |REFACCI                       |VILLAHERM      |1|1520.81|1520.81|2831.90|27/09/24|//|03/03/12|Obsoleto  |
E62109LK1A          |AMORTIGUADOR TR               |REFACCI                       |VILLAHERM      |5|1038.27|5191.35|1556.03|09/10/24|03/10/24|03/06/20|Rapido    |
963135EF0A          |CUBRTA PTA IZQ                |REFACCI                       |VILLAHERM      |2|139.07|278.14|230.17|09/02/24|19/01/24|03/10/18|Medio     |
T99G65EE01          |Estribo de puer               |ACCESOR                       |VILLAHERM      |2|3696.29|7392.58|6146.55|10/07/23|//|03/07/23|Obsoleto  |
1203300QAB          |SET ANILLOS PIS               |REFACCI                       |VILLAHERM      |1|1383.40|1383.40|793.10|08/03/22|//|03/10/03|Obsoleto  |
3N3T74KH00          |BARRA ANTIVUELC               |ACCESOR                       |VILLAHERM      |1|3495.44|3495.44|9775.87|31/10/20|10/02/21|03/02/15|Obsoleto  |
767495EF0B          |PROT TR ALOJ LL               |REFACCI                       |VILLAHERM      |1|860.07|860.07|1353.45|19/10/24|//|03/11/20|Obsoleto  |
432061HL0C          |TAMBOR FRENO TR               |REFACCI                       |VILLAHERM      |1|902.61|902.61|1633.62|02/08/24|17/08/23|03/05/15|Obsoleto  |
15208F4301          |FILTRO DE ACEIT               |REFACCI                       |VILLAHERM      |30|82.00|2460.00|137.07|26/09/24|20/09/24|03/04/02|Rapido    |
465033AN2A          |PEDAL EMBRAGUE                |REFACCI                       |VILLAHERM      |3|766.62|2299.86|1383.62|08/08/24|29/07/24|03/11/12|Rapido    |
112204JL0C          |AISL/DEL-MONT/M               |REFACCI                       |VILLAHERM      |2|767.75|1535.50|1383.62|19/10/24|16/04/24|03/02/16|Lento     |
260105EF0A          |FARO DELANTERO                |REFACCI                       |VILLAHERM      |1|3109.24|3109.24|5827.59|18/07/23|10/10/23|03/10/18|Obsoleto  |
302103S620          |CUBIERTA EMBRAG               |REFACCI                       |VILLAHERM      |1|1697.88|1697.88|4577.59|23/02/21|25/03/21|03/08/08|Obsoleto  |
EMG20W50VADD        |ACE MINE GA VA                |LUBRICA                       |VILLAHERM      |4|399.47|1597.88|577.59|10/10/24|15/10/24|03/01/20|Rapido    |
0815661628          |TORNILLO HEX                  |REFACCI                       |VILLAHERM      |1|21.02|21.02|39.30|28/02/24|05/03/24|03/05/03|Rapido    |
280239KF1A          |CONECTOR AUX                  |REFACCI                       |VILLAHERM      |1|871.15|871.15|1629.31|07/05/24|24/05/24|03/10/13|Lento     |
210824JM1B          |ACOPLAMIENTO VE               |REFACCI                       |VILLAHERM      |2|4616.22|9232.44|8612.07|03/10/24|13/09/24|03/03/17|Rapido    |
403424AF2A          |ORNAMENTO RUEDA               |REFACCI                       |VILLAHERM      |4|77.38|309.52|143.97|25/09/24|12/09/24|03/09/16|Rapido    |
284B23TA0D          |CNTRL CARROCERI               |REFACCI                       |VILLAHERM      |1|10866.10|10866.10|22706.90|01/03/23|04/10/21|03/06/13|Obsoleto  |
868994EA0A          |TORNILL ESTR CO               |REFACCI                       |VILLAHERM      |11|281.40|3095.40|435.34|26/09/24|01/08/24|03/06/18|Rapido    |
11298AX013          |TORNILLO AISLAD               |REFACCI                       |VILLAHERM      |4|28.00|112.00|68.97|29/01/21|//|03/07/02|Obsoleto  |
250605RB0G          |SENSOR NIV/GASO               |REFACCI                       |VILLAHERM      |1|699.22|699.22|1607.76|16/12/22|31/01/23|03/10/16|Obsoleto  |
905056KH0A          |VARILLA CONECTO               |REFACCI                       |VILLAHERM      |1|56.36|56.36|100.00|01/02/24|//|03/01/20|Obsoleto  |
3N3E15RB0A          |TAPETES DE VINI               |ACCESOR                       |VILLAHERM      |3|1031.14|3093.42|1474.14|25/09/24|29/10/24|03/04/16|Rapido    |
999B1C3400          |Bumper Protecto               |REFACCI                       |VILLAHERM      |1|969.36|969.36|2318.97|02/06/18|25/06/20|03/11/17|Obsoleto  |
546133RA0A          |BUJE ESTABILIZA               |REFACCI                       |VILLAHERM      |2|89.86|179.72|183.62|13/10/23|20/05/24|03/04/12|Medio     |
KWA3A11L10          |Juego de imanes               |ACCESOR                       |VILLAHERM      |1|247.16|247.16|299.14|04/03/24|//|03/08/21|Obsoleto  |
546133RA0C          |BUJE ESTABILIZA               |REFACCI                       |VILLAHERM      |4|84.70|338.80|162.07|31/08/24|27/08/24|03/05/14|Rapido    |
12314JA00A          |ENGRANE CIG                   |REFACCI                       |VILLAHERM      |1|825.92|825.92|1543.11|21/06/24|24/07/23|03/08/06|Obsoleto  |
546184KH0A          |VAR/CONECC-ESTA               |REFACCI                       |VILLAHERM      |2|182.25|364.50|336.21|03/10/24|26/09/24|03/04/14|Rapido    |
56112V0100          |BUJE ESTABILIZA               |REFACCI                       |VILLAHERM      |8|55.50|444.00|99.14|03/10/22|04/10/22|03/10/87|Obsoleto  |
3N3W6A0000          |SENSOR DE REVER               |ACCESOR                       |VILLAHERM      |2|1465.58|2931.16|2060.34|09/04/24|02/08/24|03/05/16|Rapido    |
3050269F1A          |BALERO LIBERA C               |REFACCI                       |VILLAHERM      |1|652.96|652.96|1081.90|24/10/24|28/09/24|03/08/16|Rapido    |
E62109KZ2A          |AMORTIGUADOR TR               |REFACCI                       |VILLAHERM      |2|1314.98|2629.96|2073.28|25/09/24|02/09/24|03/06/20|Rapido    |
2556500Q0C          |OBTURADOR TACOM               |REFACCI                       |VILLAHERM      |1|1130.29|1130.29|1340.52|15/10/20|20/10/20|03/10/16|Obsoleto  |
788114JB0A          |JGO LODERAS TRA               |ACCESOR                       |VILLAHERM      |1|311.36|311.36|443.97|30/09/24|09/10/24|03/06/14|Medio     |
620846RA0E          |MOLD INF DEL PA               |REFACCI                       |VILLAHERM      |1|1638.61|1638.61|2918.10|09/08/24|//|02/02/23|Obsoleto  |
24319C9915          |FUSIBLE 15 AMP.               |REFACCI                       |VILLAHERM      |5|24.96|124.80|49.48|30/06/21|27/12/13|03/08/95|Obsoleto  |
317263JX0A          |FILTRO ACEI CNT               |REFACCI                       |VILLAHERM      |2|159.68|319.36|297.41|06/09/24|23/10/24|03/10/13|Rapido    |
410111HL0A          |CALIPER DEL/IZQ               |REFACCI                       |VILLAHERM      |1|1080.71|1080.71|1982.76|21/05/24|14/05/24|03/07/10|Rapido    |
TAKATA2023          |CAMPAÑA DE CALIDAD TAKATA     |PROMOCI                       |VILLAHERM      |4|0.10|0.40|0.11|//|30/04/24|20/12/23|Medio     |
226A09BT0C          |SENSOR OXIGENO                |REFACCI                       |VILLAHERM      |1|1896.81|1896.81|3435.34|25/10/24|27/09/23|03/01/20|Obsoleto  |
963014KH1A          |ESPEJO PUERTA D               |REFACCI                       |VILLAHERM      |1|1496.64|1496.64|3034.48|14/04/23|17/04/23|03/06/14|Obsoleto  |
224488J11C          |BOBINA DE IGNIC               |REFACCI                       |VILLAHERM      |1|1974.82|1974.82|3568.97|23/10/24|08/08/24|03/03/07|Rapido    |
284F15RY0A          |CAMARA VISTA DE               |REFACCI                       |VILLAHERM      |1|2040.07|2040.07|3392.24|31/10/24|07/10/24|06/01/23|Medio     |
68414EL00A          |VISTA INSTRUM E               |REFACCI                       |VILLAHERM      |1|1002.50|1002.50|1883.62|06/06/24|31/05/24|03/01/06|Rapido    |
NIMEX4KH00AF        |TUMBABURROS DEP               |ACCESOR                       |VILLAHERM      |7|5372.30|37606.10|6715.52|03/10/24|12/10/24|03/09/20|Rapido    |
B00915RY0A          |COLILLA DE ESCA               |ACCESOR                       |VILLAHERM      |1|520.98|520.98|1133.62|30/11/22|30/09/24|03/11/21|Obsoleto  |
407006LY0B          |SENSOR PRESION                |REFACCI                       |VILLAHERM      |1|368.79|368.79|590.52|24/10/24|19/10/24|10/04/23|Rapido    |
140695E50A          |PERNO                         |REFACCI                       |VILLAHERM      |3|11.66|34.98|24.05|09/04/24|16/02/24|03/03/07|Rapido    |
13070EN22D          |TENSOR CADENA                 |REFACCI                       |VILLAHERM      |1|920.50|920.50|1801.72|19/02/24|26/02/24|03/04/09|Lento     |
16439N210A          |ABRAZADERA                    |REFACCI                       |VILLAHERM      |8|26.98|215.84|57.50|18/12/23|26/12/23|03/10/06|Medio     |
NIMEX4KH01AF        |BARRA PARACHOQ                |ACCESOR                       |VILLAHERM      |2|6055.82|12111.64|7844.83|24/10/24|19/10/24|03/09/20|Rapido    |
5461802E0A          |PERNO                         |REFACCI                       |VILLAHERM      |2|317.29|634.58|896.55|28/07/22|03/08/22|03/03/07|Obsoleto  |
164397S01E          |ABRAZADERA                    |REFACCI                       |VILLAHERM      |3|33.92|101.76|64.14|03/10/24|09/09/24|03/04/16|Rapido    |
AFIB1719K10W        |KIT AFINA B17 1               |REFACCI                       |VILLAHERM      |1|840.46|840.46|1284.48|30/06/23|28/09/24|03/11/19|Medio     |
EML15W40VADD        |ACE MINE LT VA                |LUBRICA                       |VILLAHERM      |250|59.37|14842.50|135.34|30/06/22|28/10/24|03/08/20|Rapido    |
92473N823A          |SEGURO COLECTOR               |REFACCI                       |VILLAHERM      |4|62.52|250.08|118.10|11/10/24|31/10/24|03/10/15|Rapido    |
253003JA0A          |INTERRUP/CANCEL               |REFACCI                       |VILLAHERM      |1|350.66|350.66|637.93|25/10/24|05/08/24|03/01/12|Medio     |
224481KT1A          |BOBINA ENCENDID               |REFACCI                       |VILLAHERM      |11|977.25|10749.75|1616.38|27/09/24|11/09/24|03/04/13|Rapido    |
545009AM1B          |ESLABON DER                   |REFACCI                       |VILLAHERM      |3|980.33|2940.99|1556.03|12/04/24|05/04/24|03/02/20|Rapido    |
NIMEX4KH02AF        |TUMBABURROS CUB               |ACCESOR                       |VILLAHERM      |3|7797.12|23391.36|9737.07|03/10/24|18/10/24|03/10/20|Rapido    |
288905RB0B          |PLUMA LIMP PARA               |REFACCI                       |VILLAHERM      |1|625.05|625.05|1043.10|23/10/24|05/09/24|03/09/15|Medio     |
161199SE0A          |CAMARA ACELERAC               |REFACCI                       |VILLAHERM      |1|1776.57|1776.57|3000.00|26/07/24|30/07/24|03/08/15|Medio     |
117201KT0A          |BANDA VENT/ALTE               |REFACCI                       |VILLAHERM      |8|633.86|5070.88|836.21|09/10/24|31/10/24|03/06/10|Rapido    |
21712F4100          |TAPON TANQUE RE               |REFACCI                       |VILLAHERM      |10|10.63|106.30|19.22|19/10/24|14/10/24|03/09/93|Rapido    |
47474EL000          |MANGUERA MAESTR               |REFACCI                       |VILLAHERM      |1|425.64|425.64|836.21|12/02/24|//|03/01/06|Obsoleto  |
T99E87LG0A          |PROTECTOR DE IN               |REFACCI                       |VILLAHERM      |1|850.00|850.00|2312.75|31/10/24|//|30/10/24|Nuevo     |
805009LF0F          |CTROL REMOTO DE               |REFACCI                       |VILLAHERM      |2|344.82|689.64|719.83|31/01/20|//|03/03/19|Obsoleto  |
E61105JJ0A          |AMORTIGUADOR DE               |REFACCI                       |VILLAHERM      |2|1071.22|2142.44|1400.86|30/10/24|24/10/24|03/04/17|Rapido    |
432621HA1A          |TUERC/SEG/BALER               |REFACCI                       |VILLAHERM      |34|38.52|1309.68|70.26|24/10/24|31/10/24|03/04/13|Rapido    |
403009KZ0A          |RUEDA DISCO                   |REFACCI                       |VILLAHERM      |2|752.04|1504.08|1163.79|13/09/24|12/08/24|03/10/18|Rapido    |
0891860610          |TUERCA                        |REFACCI                       |VILLAHERM      |9|40.22|361.98|106.90|04/06/22|20/06/22|03/01/03|Obsoleto  |
CT20560R16DD        |LLA KICKS 20560               |REFACCI                       |VILLAHERM      |8|2125.32|17002.56|2500.00|29/10/24|23/07/24|03/01/17|Rapido    |
360114P00A          |INTERRUPTOR LUZ               |REFACCI                       |VILLAHERM      |1|157.89|157.89|287.93|25/10/24|//|03/08/08|Obsoleto  |
66895EL000          |CUBIERTA SALPIC               |REFACCI                       |VILLAHERM      |1|94.45|94.45|200.86|20/08/24|27/07/22|03/01/06|Obsoleto  |
402141HA0A          |ANILLO SEG/ABIE               |REFACCI                       |VILLAHERM      |1|48.61|48.61|114.66|02/08/24|10/08/24|03/07/10|Rapido    |
93840VK200          |PROTECTOR ALETA               |REFACCI                       |VILLAHERM      |1|569.38|569.38|1112.07|24/05/24|18/08/22|03/08/08|Obsoleto  |
11720EL00A          |BANDA ALTERNADO               |REFACCI                       |VILLAHERM      |1|285.80|285.80|482.76|22/07/24|05/08/24|03/01/06|Rapido    |
3N3E143010          |TAPETES DE HULE               |ACCESOR                       |VILLAHERM      |6|745.20|4471.20|931.03|03/10/24|31/10/24|03/06/16|Rapido    |
65722ED01A          |ABRAZADERA COFR               |REFACCI                       |VILLAHERM      |1|41.33|41.33|79.05|25/09/24|06/10/23|03/01/06|Obsoleto  |
620705EE0A          |REJILLA DEL DEF               |REFACCI                       |VILLAHERM      |1|1675.63|1675.63|2543.10|30/08/24|14/08/24|03/10/18|Medio     |
313973MX0A          |EMPAQUE CARTER                |REFACCI                       |VILLAHERM      |2|463.95|927.90|866.38|21/10/24|09/10/24|03/06/10|Rapido    |
553206LB0B          |AISLAD MONTA AM               |REFACCI                       |VILLAHERM      |2|1002.90|2005.80|1646.55|17/04/24|06/04/24|03/07/19|Rapido    |
1654602N01          |FILTRO DE AIRE                |REFACCI                       |VILLAHERM      |9|528.96|4760.64|661.22|03/10/24|31/10/24|03/06/03|Rapido    |
540501HJ0A          |GOMA TOPE                     |REFACCI                       |VILLAHERM      |4|209.76|839.04|385.34|24/10/24|10/07/24|03/07/10|Rapido    |
B3G314M50B          |SENSOR DE POSIC               |REFACCI                       |VILLAHERM      |2|531.84|1063.68|840.52|09/02/24|20/05/24|03/06/18|Lento     |
16546F400J          |ELEMENTO                      |REFACCI                       |VILLAHERM      |1|168.39|168.39|452.76|03/01/18|10/01/20|03/01/06|Obsoleto  |
